AlGaN,xbarrier,lsg,lg,lgd,Recess,Vth,ss,ss_at,i_on,i_off
0.01,0.10,0.75,2.00,7.00, 8.00,0.9282158559376945,110.50001884856083,0.79713469,0.026606886899736146,6.3140285732924685e-12
0.01,0.10,1.00,1.50,10.00, 1.00,-0.7256994042167715,97.91893242254585,-0.7125,0.022668161535274355,-4.5446352302631634e-13
0.01,0.10,1.00,1.50,10.00, 10.00,1.2384700840575644,107.87598966974316,1.1373819,0.007881060028881684,-6.697823716374509e-12
0.01,0.10,1.00,1.50,10.00, 3.00,-0.31793124254795624,98.70655755506817,-0.52762439,0.022571909771809638,7.076388209274217e-12
0.01,0.10,1.00,1.50,10.00, 5.00,0.16071126537122116,94.99639415831473,-0.22474916,0.022380769580306003,6.229275432180646e-13
0.01,0.10,1.00,1.50,10.00, 8.00,0.9040834878818129,113.8328593174986,0.73509554,0.021198476497013896,1.3945567377836789e-11
0.01,0.10,1.00,1.50,4.00, 1.00,-0.7913089076569693,95.80368603504911,-0.95,0.042977397553730354,7.678654929949824e-12
0.01,0.10,1.00,1.50,4.00, 10.00,1.2645891300091834,81.09566038877587,1.3500271000000001,0.008820716934607285,1.6669978915968003e-12
0.01,0.10,1.00,1.50,4.00, 3.00,-0.38423940915155197,99.26073335622564,-0.4635275,0.04262968390228704,4.5150598588667225e-12
0.01,0.10,1.00,1.50,4.00, 5.00,0.12185279211606447,102.49801601421595,-0.11054329,0.041942717779718405,5.057240776172784e-12
0.01,0.10,1.00,1.50,4.00, 8.00,0.9145015669487816,97.66941578685636,0.54601594,0.03783129500425472,1.637166867441572e-12
0.01,0.10,1.00,1.50,7.00, 1.00,-0.7480305035394871,98.1484527631625,-0.7125,0.029688927368421054,3.0868791052631557e-12
0.01,0.10,1.00,1.50,7.00, 10.00,1.2404258822664505,107.33769110647827,1.1100055,0.008346675428804778,8.168201399999998e-12
0.01,0.10,1.00,1.50,7.00, 3.00,-0.34260145554633675,99.22227567734383,-0.46642091,0.02952298149655036,4.821893897218599e-13
0.01,0.10,1.00,1.50,7.00, 5.00,0.1407686674200054,104.27712652949528,0.0,0.029194788514246464,7.817684786455796e-12
0.01,0.10,1.00,1.50,7.00, 8.00,0.9037717826072645,114.66026588921946,0.90339808,0.02719075941729327,4.996307842105257e-13
0.01,0.10,1.00,1.80,10.00, 1.00,-0.7143867598095671,96.38001851370356,-0.75050714,0.022467435968421053,5.864865159673795e-12
